,TM,gmp_people,gmp_congest,Origin
327,2018102113,1788,Y,김포공항
328,2018102114,2572,Y,김포공항
329,2018102115,2148,Y,김포공항
330,2018102116,1618,N,김포공항
331,2018102117,1410,N,김포공항
332,2018102118,2957,Y,김포공항
333,2018102119,2135,Y,김포공항
334,2018102120,541,N,김포공항
335,2018102121,570,N,김포공항
336,2018102206,2328,Y,김포공항
337,2018102207,2311,Y,김포공항
338,2018102208,1574,Y,김포공항
339,2018102209,2536,Y,김포공항
340,2018102210,1502,Y,김포공항
341,2018102211,1987,Y,김포공항
342,2018102212,1484,Y,김포공항
343,2018102213,1585,N,김포공항
344,2018102214,2278,Y,김포공항
345,2018102215,2659,Y,김포공항
346,2018102216,1134,N,김포공항
347,2018102217,1339,N,김포공항
348,2018102218,2234,Y,김포공항
349,2018102219,1643,N,김포공항
350,2018102220,494,N,김포공항
351,2018102221,193,N,김포공항
352,2018102306,2533,Y,김포공항
353,2018102307,2231,Y,김포공항
354,2018102308,1553,Y,김포공항
355,2018102309,1898,Y,김포공항
356,2018102310,1665,Y,김포공항
357,2018102311,1892,Y,김포공항
358,2018102312,1244,N,김포공항
359,2018102313,2017,Y,김포공항
360,2018102314,2288,Y,김포공항
361,2018102315,2304,Y,김포공항
362,2018102316,842,N,김포공항
363,2018102317,1277,N,김포공항
364,2018102318,1903,Y,김포공항
365,2018102319,1567,N,김포공항
366,2018102320,438,N,김포공항
367,2018102321,208,N,김포공항
368,2018102406,2358,Y,김포공항
369,2018102407,2376,Y,김포공항
370,2018102408,1783,Y,김포공항
371,2018102409,2134,Y,김포공항
372,2018102410,1686,Y,김포공항
373,2018102411,1749,Y,김포공항
374,2018102412,1425,N,김포공항
375,2018102413,2091,Y,김포공항
376,2018102414,2279,Y,김포공항
377,2018102415,2135,Y,김포공항
378,2018102416,1052,N,김포공항
379,2018102417,955,N,김포공항
380,2018102418,1745,N,김포공항
381,2018102419,1582,N,김포공항
382,2018102420,608,N,김포공항
383,2018102421,267,N,김포공항
384,2018102506,2488,Y,김포공항
385,2018102507,2230,Y,김포공항
386,2018102508,1376,N,김포공항
387,2018102509,2159,Y,김포공항
388,2018102510,1742,N,김포공항
389,2018102511,1981,Y,김포공항
390,2018102512,1308,N,김포공항
391,2018102513,1724,N,김포공항
392,2018102514,2368,Y,김포공항
393,2018102515,2412,Y,김포공항
394,2018102516,1244,N,김포공항
395,2018102517,1666,N,김포공항
396,2018102518,2471,Y,김포공항
397,2018102519,1618,N,김포공항
398,2018102520,918,N,김포공항
399,2018102521,347,N,김포공항
400,2018102606,2095,Y,김포공항
401,2018102607,2142,Y,김포공항
402,2018102608,1776,N,김포공항
403,2018102609,2150,Y,김포공항
404,2018102610,1573,N,김포공항
405,2018102611,1783,N,김포공항
406,2018102612,1291,N,김포공항
407,2018102613,1817,N,김포공항
408,2018102614,2367,Y,김포공항
409,2018102615,2084,Y,김포공항
410,2018102616,1893,Y,김포공항
411,2018102617,1275,N,김포공항
412,2018102618,3093,Y,김포공항
413,2018102619,2137,Y,김포공항
414,2018102620,544,N,김포공항
